0对话内容,1对话切换,2自机A：,3表情_灵梦,4自机B：,5表情_紫,6BossA：,7表情_美夜香,8BossB：,9无,10立绘出场,11BGM切换,12特殊对话框
      唔……,0,0,0,0,0,1,7,0,0,c,0,0
   一打二还是太勉强……,1,0,0,0,0,1,7,0,0,0,0,0
       胜负已分！,0,1,0,0,0,0,7,0,0,a,0,0
    我还有更重要的任务,1,0,0,0,0,1,7,0,0,0,0,0
    没功夫和你们纠缠,1,0,0,0,0,1,7,0,0,0,0,0
    这次危机不是你们所能处理的,0,0,0,0,0,1,8,0,0,0,0,0
    好心提醒你们，知难而退吧！,0,0,0,0,0,1,8,0,0,0,0,0
      喂！别跑！,1,1,3,0,0,0,8,0,0,c,0,0
  可恶，飞得好快,0,1,7,0,0,0,8,0,0,0,0,0
  不用追了，灵梦,1,0,7,1,2,0,8,0,0,b,0,0
  我已经知道异变黑幕的所在之处了,0,0,7,1,4,0,8,0,0,0,0,0
