0对话内容,1对话切换,2自机A：,3表情_灵梦,4自机B：,5表情_紫,6BossA：,7表情_美夜香,8BossB：,9无,10立绘出场,11BGM切换,12特殊对话框
   你说这里发现了特殊的“门”？,0,1,2,0,0,0,0,0,0,a,0,0
我什么也没看到嘛,1,1,3,0,0,0,0,0,0,0,0,0
二童子在别的事情上不靠谱,0,0,8,1,1,0,0,0,0,b,0,0
唯独“门”是不会弄错的,0,0,8,1,1,0,0,0,0,0,0,0
肯定有什么家伙在附近——,1,0,8,1,2,0,0,0,0,0,0,0
        站住！,0,0,8,0,2,1,1,0,0,c,0,0
  手放在两边，不准动！,1,0,8,0,2,1,1,0,0,0,0,0
  脸转过来！,1,0,8,0,2,1,1,0,0,0,0,0
怎么跟审犯人似的,0,1,6,0,2,0,1,0,0,b,0,0
嗯，一点都不像,1,0,6,0,2,1,0,0,0,0,0,0
    喂，人类，你谁啊？,0,0,6,0,2,1,5,0,0,0,0,0
 不要四处乱转,1,0,6,0,2,1,1,0,0,0,0,0
 会妨碍我们执行公务的！,1,0,6,0,2,1,1,0,0,0,0,0
   你是什么人？,0,1,3,0,2,0,1,0,0,0,0,0
     “公务”又是什么？,1,1,2,0,2,0,1,0,0,0,0,0
   不要用问题回答问题！,0,0,2,0,2,1,6,0,0,0,0,1
给我老实一点！,1,0,2,0,2,1,1,0,0,0,0,0
这位小姐——,0,0,2,0,2,0,1,1,0,d,0,-1
    你身上的门很特别嘛,1,0,2,0,2,0,1,1,0,0,0,-1
    哇呀——！,0,0,2,0,2,1,4,0,0,d,0,0
   背后怎么会有声音！？,1,0,2,0,2,1,5,0,0,0,0,0
   没办法，她就是这样阴险的家伙,0,1,5,0,2,0,5,0,0,0,0,0
本以为是普通人，只想随便盘问两句,1,0,5,0,2,1,2,0,0,0,0,0
没想到是危险分子，这可不能放过！,0,0,5,0,2,1,3,0,0,0,0,0
  事先声明，我从不喊冤,1,1,8,0,2,0,3,0,0,0,0,0
  也不会拒绝战斗！,1,1,2,0,2,0,3,0,0,0,0,0
                      Rudhira,0,0,2,0,2,1,2,0,0,0,-1,0
   我手执的 滴血双股叉,0,0,2,0,2,1,2,0,0,0,0,0
正是为你这样的罪人准备的,1,0,2,0,2,1,3,0,0,0,1,1
       受死吧！,0,0,2,0,2,1,6,0,0,0,0,1
