0对话内容,1对话切换,2自机A：,3表情_灵梦,4自机B：,5表情_紫,6BossA：,7表情_雪珂,8BossB：,9无,10立绘出场,11BGM切换,12特殊对话框
这不可能,0,0,0,0,0,0,0,1,6,d,0,0
无常少女输了……,0,0,0,0,0,0,0,1,6,0,0,0
姐姐大人,1,0,0,0,0,0,0,1,7,0,0,0
局面要失控了！,1,0,0,0,0,0,0,1,7,0,0,0
  不要慌张，初月,0,0,0,0,0,1,9,0,7,c,0,0
  我已联络了鬼神长大人,0,0,0,0,0,1,9,0,7,0,0,0
 她一定会解决掉入侵者的,1,0,0,0,0,1,10,0,7,0,0,0
干得好，姐姐大人,0,0,0,0,0,0,10,1,6,0,0,0
   鬼神长大人到来之后,1,0,0,0,0,0,10,1,7,0,0,0
   你们都会被撕成碎片,1,0,0,0,0,0,10,1,7,0,0,0
   听上去她们背后,0,0,0,1,1,0,10,0,7,b,0,0
   似乎有什么大人物嘛,0,0,0,1,1,0,10,0,7,0,0,0
   虚张声势而已,1,1,5,0,0,0,10,0,7,a,0,0
   继续前进咯～,1,1,5,0,0,0,10,0,7,0,0,0
  地狱，我来啦！,0,1,7,0,0,0,10,0,7,0,0,0
