0对话内容,1对话切换,2自机A：,3表情_灵梦,4自机B：,5表情_紫,6BossA：,7表情_小白,8BossB：,9表情_小黑,10立绘出场,11BGM切换,12特殊对话框
   我从刚才就感觉很奇怪,0,1,1,0,0,0,0,0,0,a,0,0
  音速似乎变慢了,1,1,8,0,0,0,0,0,0,0,0,0
 这里很可能是另一个世界,0,0,8,1,2,0,0,0,0,b,0,0
又荒芜又寒冷,1,0,8,1,1,0,0,0,0,0,0,0
生命力也很微弱呢,1,0,0,1,1,0,0,0,0,0,0,0
   你好呀,0,0,0,0,2,0,0,1,5,d,0,0
   四倍弱冰的幻想乡人,0,0,0,0,2,0,0,1,5,0,0,0
    现在的我是有抗性的,1,1,0,0,2,0,0,0,5,0,0,0
    至多两倍而已,1,1,0,0,2,0,0,0,5,0,0,0
   有抗性也没关系,0,0,0,0,0,0,0,1,4,0,0,0
   只要即死就可以了～,0,0,0,0,0,0,0,1,4,0,0,0
  初月，说话要和气,1,0,0,0,0,1,2,0,4,c,0,0
  不要动不动就恐吓别人,1,0,0,0,0,1,2,0,4,0,0,0
  抱歉啦,0,0,0,0,0,1,7,0,0,0,0,0
  我的妹妹有一点粗鲁,0,0,0,0,0,1,7,0,0,0,0,0
 没事没事,1,0,0,1,5,0,0,0,0,0,0,-1
 可爱的孩子谁都愿意原谅～,1,0,0,1,5,0,0,0,0,0,0,-1
   那么作为赔礼,0,1,5,0,0,0,0,0,0,0,0,0
   就让我通过吧,0,1,5,0,0,0,0,0,0,0,0,0
  这是两码事,1,0,0,0,0,1,1,0,0,0,0,0
  八寒地狱现在正在戒严,1,0,0,0,0,1,1,0,0,0,0,0
       原来如此,0,0,0,1,1,0,0,0,0,0,0,-1
这里竟然是八寒地狱在幻想乡的入口,1,0,0,1,0,0,0,0,0,0,0,-1
更何况，生者不能进入冥府,0,0,0,0,0,1,2,0,0,0,0,0
请你回去吧,0,0,0,0,0,1,2,0,0,0,0,0
 那可不成,1,1,2,0,0,0,2,0,0,0,0,0
 地狱我非去不可,1,1,2,0,0,0,2,0,0,0,0,0
 真是固执又奇怪的人,0,0,2,0,0,1,6,0,0,0,0,0
 为什么会想下地狱啊……,0,0,2,0,0,1,6,0,0,0,0,0
   这时候就该强硬一点,1,0,2,0,0,0,6,1,1,0,0,0
   姐姐大人,1,0,2,0,0,0,6,1,1,0,0,0
      初月？！,0,0,2,0,0,1,8,0,1,0,0,0
这个异乡人背后隐藏着什么,1,0,2,0,0,0,2,1,2,0,0,0
会威胁到地狱的秩序,1,0,2,0,0,0,2,1,2,0,0,0
 这么一说,0,0,2,0,0,1,2,0,0,0,0,0
 的确有点可疑,0,0,2,0,0,1,2,0,0,0,0,0
  总觉得她的背后好像……,1,0,2,0,0,1,5,0,0,0,0,0
  有什么人在说话？,1,0,2,0,0,1,5,0,0,0,0,0
  啊，我还想多藏一阵呢,0,0,2,1,4,0,2,0,0,0,0,-1
  这下底牌全暴露了,0,0,2,1,4,0,2,0,0,0,0,-1
   直觉很敏锐，看来不是等闲之辈,1,0,2,1,1,0,2,0,0,0,0,-1
   都叫你不要多嘴了……,0,1,6,0,0,0,2,0,0,0,0,-1
 保险起见,1,0,2,0,0,0,2,1,5,0,0,0
 还是杀了她吧,1,0,2,0,0,0,2,1,5,0,0,0
   好吧，初月,0,0,2,0,0,1,6,0,0,0,0,0
   就按照你说的做……,0,0,2,0,0,1,6,0,0,0,0,0
    一言不合就要动手么,1,1,2,0,0,0,2,0,0,0,0,0
  但我可不认为自己会输,0,1,3,0,0,0,2,0,0,0,0,0
   秘神，提高火力,1,1,5,0,0,0,2,0,0,0,0,0
   我来给她们露一手！,1,1,5,0,0,0,2,0,0,0,0,0
放心吧,0,0,0,1,5,0,2,0,0,0,-1,0
后户之力还很充足,0,0,0,1,5,0,2,0,0,0,0,0
   沉溺于业障的灵魂啊,1,0,0,0,0,1,2,0,0,0,1,1
   彷徨于地狱的罪人啊,0,0,0,0,0,0,2,1,3,0,0,1
    你污秽的魂魄，就由我们来！,1,0,0,0,0,1,11,0,3,0,0,1
     消灭！！！,0,0,0,0,0,0,11,1,8,0,0,1
