0对话内容,1对话切换,2自机A：,3表情_灵梦,4自机B：,5表情_紫,6BossA：,7表情_雪华,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
八寒地狱最深处竟如此冰冷,0,0,6,1,1,0,0,0,0,b,0,0
超低温连空气都能液化成海,0,0,5,1,1,0,0,0,0,0,0,0
 这就是所谓的地狱罪海吧,1,0,5,1,2,0,0,0,0,0,0,0
黑幕自大海上浮现,0,1,5,0,2,0,0,0,0,a,0,0
就像是上次在月之海那一幕,0,1,5,0,2,0,0,0,0,0,0,0
      青华长乐界,1,0,5,0,2,1,3,0,0,c,0,0
      东极妙严宫,1,0,5,0,2,1,3,0,0,0,0,0
  地狱净土之真意,0,0,5,0,2,1,1,0,0,0,0,0
  已为汝等所窥见,0,0,5,0,2,1,1,0,0,0,0,0
 地狱和净土,1,1,4,0,2,0,0,0,0,0,0,0
 正巧我都经历过呢,1,1,4,0,2,0,0,0,0,0,0,0
    混乱与死寂凑在一起,0,1,7,0,2,0,0,0,0,0,0,0
    相性真是差到家了,0,1,7,0,2,0,0,0,0,0,0,0
    乱世须用重典,1,0,2,0,2,1,1,0,0,0,0,0
    地狱须行铁律,1,0,2,0,2,1,1,0,0,0,0,0
  关押极恶之人的罪恶世界,0,0,2,0,2,1,2,0,0,0,0,0
  只能用永冻之法来净化,0,0,2,0,2,1,2,0,0,0,0,0
  在深渊创造净土,1,0,2,1,5,0,0,0,0,0,0,0
  难道说你就是？,1,0,2,1,5,0,0,0,0,0,0,0
我即度化万魂之神,0,0,2,0,2,1,3,0,0,0,0,0
      我即罪海的净土之花,1,0,2,0,2,1,3,0,0,0,0,0
    我即终焉世界的支配者,0,0,2,0,2,1,3,0,0,0,0,0
      吾名为雪华,1,0,2,0,2,1,5,0,0,0,0,0
      地上界的住民,0,0,2,0,2,1,3,0,0,0,0,0
      缘何踏足我的地狱？,0,0,2,0,2,1,3,0,0,0,0,0
      我们是来谈判的,1,1,1,0,2,0,3,0,0,0,0,0
      鬼神长把一切都说了,1,1,1,0,2,0,3,0,0,0,0,0
     逃犯的事也好,0,1,2,0,0,0,3,0,0,0,0,0
     冻结地上的计划也好！,0,1,2,0,0,0,3,0,0,0,0,0
呵,1,0,2,0,0,1,6,0,0,0,0,0
尽是些没用的部下,1,0,2,0,0,1,6,0,0,0,0,0
    愚钝的部下常有,0,0,2,1,1,0,0,0,0,0,0,0
    可靠的盟友可不多见,0,0,2,1,1,0,0,0,0,0,0,0
也就是说——,1,1,8,0,2,0,0,0,0,0,0,0
遇到我们算你走运,1,1,8,0,2,0,0,0,0,0,0,0
常理来说，幻想乡的异变,0,1,2,0,2,0,0,0,0,0,0,0
就该由幻想乡的专家来解决,0,1,2,0,2,0,0,0,0,0,0,0
    身为退治妖魔专家的博丽巫女,1,1,1,0,2,0,0,0,0,0,0,0
    我来抓捕逃犯那自然不在话下,1,1,1,0,2,0,0,0,0,0,0,0
      胆敢插手地狱的事务,0,0,0,0,2,1,3,0,0,0,0,0
      有点意思,0,0,0,0,2,1,3,0,0,0,0,0
    幻想乡是吧,1,0,0,0,2,1,4,0,0,0,0,0
    我对你们有了点兴致,1,0,0,0,2,1,4,0,0,0,0,0
 同意了么？,0,1,6,0,2,0,3,0,0,0,0,0
 意外的很爽快嘛？,0,1,6,0,2,0,3,0,0,0,0,0
  对付逃犯需要足够的魔力,1,0,2,1,1,0,3,0,0,0,0,0
  所以请尽快解除冻结,1,0,2,1,1,0,3,0,0,0,0,0
在恢复秩序这点上,0,0,2,1,2,0,3,0,0,0,0,0
我们是利害一致的,0,0,2,1,2,0,3,0,0,0,0,0
但是看来你们有些高估自己,1,0,2,0,2,1,3,0,0,0,0,0
根本没认清自己几斤几两呀,1,0,2,0,2,1,3,0,0,0,0,0
     你说什么？！,0,1,3,0,2,0,3,0,0,0,0,1
      地上界的净土化,1,0,2,0,2,1,1,0,0,0,0,0
      是十天尊共同的决定,1,0,2,0,2,1,1,0,0,0,0,0
    没有我执掌冥冷的权能,0,0,2,0,2,1,0,0,0,0,0,0
    你们是制御不了逃犯的,0,0,2,0,2,1,0,0,0,0,0,0
     人类也好妖怪也罢,1,0,2,0,2,1,1,0,0,0,0,0
     都生于无比低矮的地上,1,0,2,0,2,1,1,0,0,0,0,0
至多算作草芥,0,0,2,0,2,1,3,0,0,0,0,0
还妄想参与更高层次的战斗,0,0,2,0,2,1,3,0,0,0,0,0
   你这种高高在上的态度,1,1,8,0,2,0,3,0,0,0,0,0
   我真是见得多了！,1,1,8,0,2,0,3,0,0,0,0,0
 可别以为,0,1,2,0,2,0,3,0,0,0,0,0
 每次都会一笑置之,0,1,2,0,2,0,3,0,0,0,0,0
     明明和地上相比,1,1,3,0,2,0,3,0,0,0,0,1
     这个深渊才是最低的！,1,1,3,0,2,0,3,0,0,0,0,1
     博丽的巫女,0,0,2,0,2,1,3,0,0,0,0,0
     掂量掂量自己的份量,0,0,2,0,2,1,3,0,0,0,0,0
   地上那个脆弱的乐园,1,0,2,0,2,1,5,0,0,0,0,0
   可还在我手上苟延残喘,1,0,2,0,2,1,5,0,0,0,0,0
      通向终焉的倒计时,0,0,2,0,2,1,8,0,0,0,0,0
      会再往前走一格哦？,0,0,2,0,2,1,8,0,0,0,0,0
     用不着那么麻烦,1,1,5,0,2,0,3,0,0,0,0,0
     解决异变无须绕远路,1,1,5,0,2,0,3,0,0,0,0,0
     既然冻结万物的黑幕就在眼前,0,1,3,0,2,0,3,0,0,0,0,0
     那么打倒她就是最短的捷径,0,1,3,0,2,0,3,0,0,0,0,0
   紫，你也是这么想的吧！,1,1,2,0,2,0,3,0,0,0,0,1
保障幻想乡的安危,0,0,2,1,3,0,3,0,0,0,0,0
这是我的底线,0,0,2,1,3,0,3,0,0,0,0,0
   不拿别人当回事的态度,1,0,2,1,2,0,3,0,0,0,0,0
   是对地上界最大的羞辱,1,0,2,1,2,0,3,0,0,0,0,0
      既然无法解除冻结,0,0,2,1,1,0,3,0,0,0,0,0
      那就只能在此一战！,0,0,2,1,1,0,3,0,0,0,0,0
    呵，地上人愚蠢的挑战,1,0,2,0,2,1,5,0,0,0,0,0
    不过是飞蛾扑火罢了,1,0,2,0,2,1,5,0,0,0,0,0
 就让我用事实来告诉你们,0,0,2,0,2,1,2,0,0,0,0,0
 神明与凡俗之辈的实力差距,0,0,2,0,2,1,2,0,0,0,0,0
     拼命挣扎吧,1,0,2,0,2,1,8,0,0,0,-1,1
     你们的终点只有绝望！,1,0,2,0,2,1,8,0,0,0,0,1
      深渊净土，地狱莲华,0,0,2,0,2,1,8,0,0,0,1,1
      度人无量，誓愿无边！,1,0,2,0,2,1,8,0,0,0,0,1
