0对话内容,1对话切换,2自机A：,3表情_白莲,4自机B：,5表情_神子,6BossA：,7表情_雪珂,8BossB：,9无,10立绘出场,11BGM切换,12特殊对话框
 呜……,0,0,0,0,0,1,8,0,0,c,0,0
 我投降啦……,0,0,0,0,0,1,8,0,0,0,0,0
切记，偷盗妄语，不可再犯,1,1,17,0,0,0,8,0,0,a,0,0
 是——我不会再犯了——,0,0,17,0,0,1,9,0,0,0,0,0
 （才怪嘞）,0,0,17,0,0,1,9,0,0,0,0,0
    超度妖怪……,1,0,17,1,4,0,9,0,0,b,0,0
    又在做这种吃力不讨好的事情,1,0,17,1,4,0,9,0,0,0,0,0
 众生皆可度，妖怪亦如是,0,1,1,0,4,0,9,0,0,0,0,0
 只要努力修行，就能往生净土……,1,1,8,0,4,0,9,0,0,0,0,0
    传教的事情先放一放,0,0,3,1,4,0,9,0,0,0,0,0
  作为怪盗雪兔,1,0,3,1,3,0,9,0,0,0,0,0
  自然是眼观六路耳听八方,1,0,3,1,3,0,9,0,0,0,0,0
  你的任何情报我都想要,0,0,3,1,2,0,9,0,0,0,0,0
  特别是关于这些莲花的,0,0,3,1,2,0,9,0,0,0,0,0
   我只知道它们是一夜之间出现的,1,0,3,0,2,1,8,0,0,0,0,0
    在昨夜那场恐怖的寒潮中盛开,0,0,3,0,2,1,9,0,0,0,0,0
 果然它们之间存在联系！,1,0,3,1,5,0,9,0,0,0,0,0
 这很可能是黑幕的某种能力,1,0,3,1,5,0,9,0,0,0,0,0
  那么这一切的答案,0,1,3,0,3,0,9,0,0,0,0,0
  就在莲花肆意盛开之处了,0,1,3,0,3,0,9,0,0,0,0,0
   呜……,1,0,3,0,3,1,9,0,0,0,0,0
   你们要去的话可得做好心理准备,1,0,3,0,3,1,9,0,0,0,0,0
   那是绝不能回头的深渊禁地……,0,0,3,0,3,1,8,0,0,0,0,0
