0对话内容,1对话切换,2自机A：,3表情_灵梦,4自机B：,5表情_紫,6BossA：,7表情_白雪,8BossB：,9无,10立绘出场,11BGM切换,12特殊对话框
  周围的风景……,0,1,6,0,0,0,0,0,0,a,0,0
  好像在改变？,0,1,6,0,0,0,0,0,0,0,0,0
  我们已经脱离幻想进入了现实,1,0,6,1,1,0,0,0,0,b,0,0
  别担心，这只是暂时的保护措施,1,0,6,1,1,0,0,0,0,0,0,0
原来是权宜之策啊,0,1,8,0,1,0,0,0,0,0,0,0
    先不提这个,1,0,8,1,2,0,0,0,0,0,0,0
    雪上加霜的元凶终于出现了呢,1,0,8,1,2,0,0,0,0,0,0,0
     总算是追上你了，兔子小偷！,0,1,2,0,2,0,0,0,0,0,0,0
“兔子小偷”？那是谁？,1,0,2,0,2,1,5,0,0,c,0,0
  我只是碰巧路过而已啦,0,0,2,0,2,1,1,0,0,0,0,0
    在空无一人的雪原上“路过”？,1,1,5,0,2,0,1,0,0,0,0,0
     “山就在那里”,0,0,5,0,2,1,2,0,0,0,0,0
     到什么地方去还需要理由吗？,0,0,5,0,2,1,2,0,0,0,0,0
  那么这张卡片怎么说？,1,1,1,0,2,0,2,0,0,0,0,0
  “宝贝我就收下啦~☆,1,1,1,0,2,0,2,0,0,0,0,0
                    By怪盗白雪”,1,1,1,0,2,0,2,0,0,0,0,0
这是你在偷盗时留下的吧？,0,1,1,0,2,0,2,0,0,0,0,0
 这是什么东西？,1,0,1,0,2,1,5,0,0,0,0,0
  好好笑哦，完全没见过呢,0,0,1,0,2,1,1,0,0,0,0,0
        ……,1,1,7,0,2,0,1,0,0,0,0,0
 你就是经常光顾香霖堂的雪兔贼吧,0,0,7,1,1,0,0,0,0,0,0,0
  每次偷了什么，都看得一清二楚呢,1,0,7,1,3,0,0,0,0,0,0,0
不是贼，是怪盗！,0,0,7,0,3,1,7,0,0,0,0,0
   我去香霖堂也不是为了偷东西！,1,0,7,0,3,1,7,0,0,0,0,0
    贼和怪盗，有什么区别吗……,0,1,8,0,0,0,7,0,0,0,0,0
   好了，快点把那个道具还过来吧,1,1,2,0,0,0,0,0,0,0,0,0
 不然我就动手了！,0,1,2,0,0,0,0,0,0,0,0,0
哈哈哈！,1,0,2,0,0,1,1,0,0,0,0,0
一有机会人们就想将她逮住,1,0,2,0,0,1,1,0,0,0,0,0
但是“怪盗白雪”始终凭着机敏勇敢，,0,0,2,0,0,1,2,0,0,0,0,0
逃脱了追捕，并讥笑他们自不量力,0,0,2,0,0,1,2,0,0,0,0,0
       这一次，他们又是自不量力！,1,0,2,0,0,1,2,0,0,0,-1,1
