0对话内容,1对话切换,2自机A：,3表情_白莲,4自机B：,5表情_神子,6BossA：,7表情_雪华,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
    如此极致的静谧和庄严,0,1,0,0,0,0,0,0,0,a,0,0
    只能是净土了吧？,0,1,0,0,0,0,0,0,0,0,0,0
     让阿弥陀与普陀洛迦现于地狱,1,0,0,1,0,0,0,0,0,b,0,0
     那家伙不简单啊,1,0,0,1,0,0,0,0,0,0,0,0
      青华长乐界,0,0,0,0,0,1,3,0,0,c,0,0
      东极妙严宫,0,0,0,0,0,1,3,0,0,0,0,0
    汝等已然窥见,1,0,0,0,0,1,1,0,0,0,0,0
    那落迦之净土,1,0,0,0,0,1,1,0,0,0,0,0
     位于深渊的极乐世界,0,1,3,0,0,0,0,0,0,0,0,0
     真是难以言喻的悖乱,0,1,3,0,0,0,0,0,0,0,0,0
      天上佛国在地下显现,1,1,2,0,0,0,0,0,0,0,0,0
      这怎么可能？,1,1,2,0,0,0,0,0,0,0,0,0
    圣白莲哟！,0,0,3,1,2,0,0,0,0,0,0,0
    这是我所熟知的领域！,0,0,3,1,2,0,0,0,0,0,0,0
支配长乐界的天神,1,0,3,1,0,0,0,0,0,0,0,0
必是三界的救苦者,1,0,3,1,0,0,0,0,0,0,0,0
 这么说来，您就是天尊……,0,0,3,1,5,0,0,0,0,0,0,0
      地上界的的开悟之人,1,0,3,0,0,1,4,0,0,0,0,0
      的确见识不凡,1,0,3,0,0,1,4,0,0,0,0,0
我即度化万魂之神,0,0,3,0,0,1,3,0,0,0,0,0
      我即罪海的净土之花,1,0,3,0,0,1,3,0,0,0,0,0
    我即终焉世界的支配者,0,0,3,0,0,1,3,0,0,0,0,0
      吾名为雪华,1,0,3,0,0,1,5,0,0,0,0,0
      汝等二人执着于长生,0,0,3,0,0,1,3,0,0,0,0,0
      缘何踏足苦寒之狱？,0,0,3,0,0,1,3,0,0,0,0,0
  我等此行,1,0,3,1,2,0,0,0,0,0,0,0
  皆是为了幻想乡,1,0,3,1,2,0,0,0,0,0,0,0
 为政者必循天道,0,0,3,1,6,0,0,0,0,0,0,0
 不可不心系万民,0,0,3,1,6,0,0,0,0,0,0,0
 开悟者必怀慈悲,1,1,8,0,0,0,0,0,0,0,0,0
 不可不垂怜众生,1,1,8,0,0,0,0,0,0,0,0,0
    一路走来尽是天寒地冻,0,1,3,0,0,0,0,0,0,0,0,0
    茫茫天地间了无生机,0,1,3,0,0,0,0,0,0,0,0,0
如此残酷的地狱,1,1,2,0,0,0,0,0,0,0,0,0
不该强加于无辜者,1,1,2,0,0,0,0,0,0,0,0,0
我听闻地狱的变故,0,0,3,1,2,0,0,0,0,0,0,0
皆因横暴无法之徒破牢而出,0,0,3,1,2,0,0,0,0,0,0,0
 俗言“过犹不及”,1,0,3,1,4,0,0,0,0,0,0,0
 一逃犯何必如此大动干戈？,1,0,3,1,4,0,0,0,0,0,0,0
  不如由我们代替尊神行事,0,0,3,1,7,0,0,0,0,0,0,0
  将罪人打回地狱,0,0,3,1,7,0,0,0,0,0,0,0
    不愧是圣人与高僧,1,0,3,0,0,1,2,0,0,0,0,0
    就连话语中也蕴含机锋,1,0,3,0,0,1,2,0,0,0,0,0
      为保幻想乡之生灵,0,0,3,0,0,1,1,0,0,0,0,0
      斗胆插手地狱的事务,0,0,3,0,0,1,1,0,0,0,0,0
      汝二人果然是佛与道,1,0,3,0,0,1,3,0,0,0,0,0
      两条道路上的佼佼者,1,0,3,0,0,1,3,0,0,0,0,0
        您过奖了,0,0,3,1,2,0,0,0,0,0,0,0
 但是尊神大人,1,0,3,1,3,0,0,0,0,0,0,0
 您似乎并不认同我等所言？,1,0,3,1,3,0,0,0,0,0,0,0
      哦？极致的察言观色,0,0,3,0,0,1,1,0,0,0,0,0
