0对话内容,1对话切换,2自机A：,3表情_灵梦,4自机B：,5表情_紫,6BossA：,7表情_雪珂,8BossB：,9无,10立绘出场,11BGM切换,12特殊对话框
  居然能看破所有机关，认输啦——,0,0,0,0,0,1,8,0,0,c,0,0
     “黑白老鼠”，强得犯规啊！,1,0,0,0,0,1,9,0,0,0,0,0
         嘿嘿~,0,1,0,0,0,0,9,0,0,a,0,0
  我的职业等级（盗贼）早就刷满了,1,1,7,0,0,0,9,0,0,0,0,0
     说是盗贼，却像赌徒一样出千,0,0,7,1,1,0,9,0,0,b,0,-1
我懂了，原来不止一个人！难怪……,1,0,7,0,0,1,9,0,0,0,0,0
算了，输就是输,0,0,7,0,0,1,8,0,0,0,0,0
你们想知道什么？,0,0,7,0,0,1,8,0,0,0,0,0
关于这场异变的事,1,1,1,0,0,0,8,0,0,0,0,0
      异变啊,0,0,1,0,0,1,8,0,0,0,0,0
最可疑的是这些雪莲花吧？,1,0,1,0,0,1,9,0,0,0,0,0
      确实，它们给我的感觉很别扭,0,0,1,1,4,0,9,0,0,0,0,-1
    这股气息，绝对不是正常的魔力,1,0,1,1,2,0,9,0,0,0,0,-1
   让雪莲花盛开的家伙,0,0,1,0,2,1,8,0,0,0,0,0
   大概就是黑幕,0,0,1,0,2,1,8,0,0,0,0,0
   你知道黑幕的位置吗？,1,1,4,0,2,0,8,0,0,0,0,0
  也只有那儿了,0,0,4,0,2,1,9,0,0,0,0,0
人人都畏惧的地方，深渊,1,0,4,0,2,1,9,0,0,0,0,0
